shift,flavor,cos_zen,depth,a,b,x1,k1,c
p1,e,0.2,2.0,33.02699247290202,2.139635583539658,678.2066186307413,0.49572533476114133,0.05921350820013424
m1,e,0.2,2.0,3.0475969995461885,2.139635583539658,0.1,0.49572533476114133,0.05921350820013424
p1,e,0.2,2.1,21.401888531427858,2.108484983949424,329.1201654310426,0.5436997063775795,0.06428655909948251
m1,e,0.2,2.1,3.911693936161046,2.108484983949424,0.1,0.5436997063775795,0.06428655909948251
p1,e,0.4,1.4,286.39923728152803,2.3228923502043255,48.16747629787663,1.6661408341398931,0.3968625947740786
m1,e,0.4,1.4,0.1,2.3228923502043255,0.1,1.6661408341398931,0.3
p1,e,0.4,2.0,592.5041829726633,1.5087596091785416,270.8724265777165,2.488032274638306,0.26729737224435324
m1,e,0.4,2.0,0.1,1.5087596091785416,0.1,2.488032274638306,0.26729737224435324
p1,e,0.4,2.1,579.7882583810658,0.9936344198498365,2629.0247915371583,2.73168971254984,0.18154536571746135
m1,e,0.4,2.1,0.1,0.9936344198498365,0.1,2.73168971254984,0.18154536571746135
p1,e,0.6,1.4,71.14016148478264,1.4501112814221597,1860.7601872132952,1.420781135983089,0.07973701558031596
m1,e,0.6,1.4,0.1,1.4501112814221597,0.1,1.420781135983089,0.07973701558031596
p1,e,0.6,2.0,35.61668455103567,0.9286825506397309,4328.338799791051,0.2914297411855091,0.05727808959418948
m1,e,0.6,2.0,0.1,0.9286825506397309,0.1,0.2914297411855091,0.05727808959418948
p1,e,0.6,2.1,45.25690466497782,0.7250750523788297,5281.313930921434,0.3356024408633632,0.07252007506118638
m1,e,0.6,2.1,0.1,0.7250750523788297,0.1,0.3356024408633632,0.07252007506118638
p1,e,0.8,1.4,27.041741221882916,1.356189892910815,3466.485802488079,0.5655287740893384,0.03883041837075574
m1,e,0.8,1.4,0.1,1.356189892910815,0.1,0.5655287740893384,0.03883041837075574
p1,e,0.8,2.0,245608.51000794553,1.389372283020069,5262.3242430391265,1.500173788745287,0.4540703622190926
m1,e,0.8,2.0,0.1,1.389372283020069,0.1,1.500173788745287,0.3
p1,e,0.8,2.1,5061915.781102234,0.9897545317078125,75058.8356978282,2.89856480688096,0.4936581300893618
m1,e,0.8,2.1,0.1,0.9897545317078125,0.1,2.89856480688096,0.3
